"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-08-05","Manny Gonzalez","STL","NYM","0","6","128","6","9.6","122","118.4","3.6","95.3","92.5","2.8","89.8","-0.12","0.58"
"","2024-08-05","Charlie Ramos","CLE","AZ","6","7","170","15","11.5","155","158.5","-3.5","91.2","93.3","-2.1","92.4","-0.36","2.34"
"","2024-08-05","Jim Wolf","MIA","CIN","3","10","155","9","7.8","146","147.2","-1.2","94.2","95","-0.8","94.2","-0.59","1.15"
"","2024-08-05","Mark Carlson","WSH","SF","1","4","141","8","9.9","133","131.1","1.9","94.3","93","1.3","91.5","0.15","0.73"
"","2024-08-05","Will Little","TEX","HOU","4","3","172","8","8.2","164","163.8","0.2","95.3","95.2","0.1","93","0.34","1.04"
"","2024-08-05","Tony Randazzo","CHC","MIN","0","3","136","8","9.6","128","126.4","1.6","94.1","93","1.2","92.6","-0.34","0.8"
"","2024-08-05","Scott Barry","KC","BOS","5","9","169","8","9.9","161","159.1","1.9","95.3","94.1","1.1","94.1","-0.24","1.32"
"","2024-08-05","Edwin Moscoso","OAK","CWS","5","1","151","9","13.8","142","137.2","4.8","94","90.9","3.2","93.4","-0.14","0.68"
"","2024-08-05","Marvin Hudson","LAD","PHI","5","3","124","8","7","116","117","-1","93.5","94.3","-0.8","93.5","-0.19","1.13"
"","2024-08-04","Bill Miller","CIN","SF","2","8","163","10","11.1","153","151.9","1.1","93.9","93.2","0.7","93.9","0.4","1.88"
"","2024-08-04","Jonathan Parra","PIT","AZ","5","6","178","13","15.6","165","162.4","2.6","92.7","91.2","1.5","94.4","-0.01","1.83"
"","2024-08-04","Nestor Ceja","ATL","MIA","0","7","169","4","10.4","165","158.6","6.4","97.6","93.8","3.8","97","-0.48","0.48"
"","2024-08-04","Tripp Gibson","NYY","TOR","4","3","178","10","12.1","168","165.9","2.1","94.4","93.2","1.2","91.6","-0.76","2.3"
"","2024-08-04","Dan Iassogna","WSH","MIL","4","3","127","7","7.3","120","119.7","0.3","94.5","94.2","0.3","97.6","0.38","0.84"
"","2024-08-04","Cory Blaser","CLE","BAL","5","9","174","11","10.8","163","163.2","-0.2","93.7","93.8","-0.1","94.8","1.36","3.24"
"","2024-08-04","Ryan Blakney","DET","KC","2","3","144","8","7.2","136","136.8","-0.8","94.4","95","-0.6","93.8","1.13","1.47"
"","2024-08-04","Emil Jimenez","HOU","TB","0","1","141","7","9.8","134","131.2","2.8","95","93.1","2","95.7","0.28","0.98"
"","2024-08-04","Lance Barrett","MIN","CWS","13","7","215","19","12.9","196","202.1","-6.1","91.2","94","-2.9","92.1","1.08","2.12"
"","2024-08-04","James Hoye","TEX","BOS","2","7","153","5","6","148","147","1","96.7","96.1","0.7","96.7","-0.03","0.45"
"","2024-08-04","Alex MacKay","LAA","NYM","3","2","164","11","10.6","153","153.4","-0.4","93.3","93.5","-0.3","93.9","-0.34","1.52"
"","2024-08-04","Dan Bellino","OAK","LAD","2","3","145","7","7.5","138","137.5","0.5","95.2","94.9","0.3","93.1","0.46","0.78"
"","2024-08-04","Chris Segal","SD","COL","10","2","146","14","9.3","132","136.7","-4.7","90.4","93.6","-3.2","93.2","0.13","1.69"
"","2024-08-04","Chad Fairchild","SEA","PHI","0","6","131","8","7.1","123","123.9","-0.9","93.9","94.6","-0.7","93.9","-0.21","0.83"
"","2024-08-04","Clint Vondrak","CHC","STL","6","2","138","9","9.9","129","128.1","0.9","93.5","92.8","0.6","89.1","-1.07","1.45"
"","2024-08-03","Laz Diaz","NYY","TOR","8","3","168","17","11.5","151","156.5","-5.5","89.9","93.2","-3.3","88.7","-1.22","1.88"
